EGH479,2,12,Advances in Civil Engineering Practice,(EGB375 or ENB276) and (EGH472 or ENB372)
ERB101,2,12,Earth Systems,
ERB102,2,12,Evolving Earth,
ERB204,2,12,Deforming Earth: Fundamentals of Structural Geology,ERB101 and (MXB105 or MZB125 or SEB113)
EVB102,2,12,Ecosystems and the Environment,
EVB203,1,12,Geospatial Information Science,ERB101 or EVB102
IAB201,3,12,Modelling Techniques for Information Systems,(IFB103 or ITD103) and (IFB105 or IFB130)
IAB202,3,12,Business of Information Technology,EGB100 or ENB100 or IFB101 or IFB103 or IGB181 or ITD101 or ITD103
IAB203,1,12,Business Process Modelling,
IAB204,1,12,Business Requirements Analysis,IAB201 or ITD122 or PUB102
IAB205,2,12,Corporate Systems,
IAB206,2,12,Modern Data Management,(IFB104 or ITD104) and (IFB105 or IFB130)
IAB207,3,12,Rapid Web Application Development,(IFB103 or ITD103) and (IFB105 or IFB130)
IAB230,1,12,Mobile and Ubiquitous Computing,IFB104 or INB104 or ITD104
IAB250,1,12,Enterprise Systems Configuration,IFB103 or ITD103
IAB260,1,12,Social Technologies,IFB103 or ITD103
IAB301,2,12,Enterprise Architecture,
IAB302,1,12,Information Systems Consulting,
IAB303,1,12,Data Analytics for Business Insight,((IFB104 or ITD104) and (IFB105 or IFB130)) or AYB341
IAB304,1,12,Project Management,
IAB305,2,12,Information Systems Lifecycle Management,(IAB201 or PUB110) and (IFB103 or ITD103)
IAB320,2,12,Business Process Improvement,IAB203
IAB321,1,12,Business Process Technologies,IAB203
IAB330,2,12,Mobile Application Development,CAB201 or IAB230 or ITD121
IAB350,1,12,Enterprise Systems Configuration,
IAB351,1,12,Business in the Cloud,IFB103 or ITD103
IAB352,2,12,Enterprise Systems Management,IAB250 or IAB350
IAB370,2,12,Digital Transformation,(IFB103 or ITD103) and IAB270
IAB401,2,12,Enterprise Architecture,IAB305
IAB402,1,12,Information Systems Consulting,IAB204
IAB450,2,12,Enterprise Systems Management,
IFB101,3,12,Impact of IT,
IFB102,3,12,Introduction to Computer Systems,
IFB103,3,12,IT Systems Design,
IFB104,3,12,Building IT Systems,
IFB105,3,12,Database Management,
IFB130,3,12,Database Management,
IFB295,3,12,IT Project Management,96cp
